User01, 2021, 8, 7, 8, 14, 0, I think that racism in this country sucks!
User99, 2022, 12, 14, 13, 31, 58, I agree that we need to have higher taxes on the rich!
User02, 2020, 12, 23, 8, 0, 0, Happy Holidays everyone!
User02, 2021, 1, 1, 8, 0, 0, Happy New Year everyone!
User03, 2021, 1, 1, 8, 10, 0, I don't believe in celebrating New Years
User02, 2021, 1, 2, 8, 15, 20, Ahhhhh don't be the way
User08, 2021, 1, 3, 10, 30, 14, Hey everyone I just got a raise!
User01, 2021, 1, 4, 8, 15, 23, Happy new Year to you too John!
User01, 2020, 12, 24, 13, 22, 47, Happy Holidays to you too John!
User03, 2022, 1, 5, 12, 1, 38, I think I'll go play soccer today with my friends
User01, 2022, 1, 5, 12, 7, 19, Let me know where that will be and I'll join you!